Car_ID,Car_Name,Mileage_kmpl,Fuel_Type
4832,Maruti Swift,22.0,Petrol
5127,Hyundai i20,20.5,Petrol
6941,Honda City,18.4,Petrol
2756,Tata Nexon,21.1,Diesel
8394,Kia Seltos,19.8,Diesel
6173,Mahindra XUV300,20.0,Diesel
7045,Hyundai Creta,21.4,Petrol
5269,Toyota Glanza,22.3,Petrol
3412,Maruti Baleno,23.1,Petrol
9658,Honda Amaze,19.2,Diesel
7884,Renault Kiger,20.2,Petrol
4391,Tata Altroz,19.9,Diesel
2106,Nissan Magnite,20.5,Petrol
8753,Volkswagen Polo,18.9,Petrol
9902,Ford EcoSport,17.8,Diesel
6581,Skoda Kushaq,19.5,Petrol
7124,Hyundai Venue,20.7,Petrol
3809,Kia Sonet,21.0,Diesel
5567,Tata Punch,20.1,Petrol
8940,Maruti Ciaz,20.8,Diesel
